"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IBackpackService.cs", "C#", 0, 0, 24, 0, 0, 0, 40, 13, 77
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IConnectionCodeService.cs", "C#", 0, 0, 7, 0, 0, 0, 28, 3, 38
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ICurrentUserService.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 2, 10
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IDiabetesSettingsPageFactory.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 3, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IEditProfilePageFactory.cs", "C#", 0, 0, 7, 0, 0, 0, 3, 3, 13
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IEncryptionService.cs", "C#", 0, 0, 13, 0, 0, 0, 28, 9, 50
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IFallbackRecommendationService.cs", "C#", 0, 0, 7, 0, 0, 0, 12, 3, 22
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IGigaChatService.cs", "C#", 0, 0, 32, 0, 0, 0, 77, 22, 131
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ILinkService.cs", "C#", 0, 0, 16, 0, 0, 0, 14, 13, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ILocationService.cs", "C#", 0, 0, 16, 0, 0, 0, 42, 9, 67
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IMeasurementService.cs", "C#", 0, 0, 17, 0, 0, 0, 30, 9, 56
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\INotificationService.cs", "C#", 0, 0, 12, 0, 0, 0, 28, 9, 49
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationCache.cs", "C#", 0, 0, 6, 0, 0, 0, 18, 3, 27
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationCacheService.cs", "C#", 0, 0, 26, 0, 0, 0, 68, 17, 111
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationModalFactory.cs", "C#", 0, 0, 7, 0, 0, 0, 6, 3, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationModalViewModelFactory.cs", "C#", 0, 0, 6, 0, 0, 0, 6, 3, 15
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationOrchestrator.cs", "C#", 0, 0, 29, 0, 0, 0, 59, 15, 103
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IScheduleService.cs", "C#", 0, 0, 11, 0, 0, 0, 39, 7, 57
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IStatisticsService.cs", "C#", 0, 0, 16, 0, 0, 0, 45, 8, 69
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IStorageService.cs", "C#", 0, 0, 9, 0, 0, 0, 18, 6, 33
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ISyncConflictResolver.cs", "C#", 0, 0, 16, 0, 0, 0, 19, 5, 40
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ISyncService.cs", "C#", 0, 0, 47, 0, 0, 0, 66, 20, 133
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IThemeService.cs", "C#", 0, 0, 8, 0, 0, 0, 12, 5, 25
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\SugarGuard.Junior.csproj", "XML", 84, 0, 0, 0, 0, 0, 17, 21, 122
